Type,File Size Before,File Size After,Encryption Time,Decryption Time,Memory Usage,CPU Usage
3DES,1048576,1048584,0.034915924072266,0.033443450927734,94.35,7.00
AES,1048576,1048592,0.003017663955688,0.002860784530640,96.36,1.30
RSA,1048576,1048592,0.003000974655151,0.008014917373657,94.51,8.94
ECC,1048576,1048592,0.003000974655151,0.005001068115234,96.68,2.50
3DES,104857600,104857608,3.435362577438354,3.332800865173340,393.68,9.03
AES,104857600,104857616,0.259881973266602,0.259276390075684,591.68,8.57
RSA,104857600,104857616,0.250622749328613,0.260753154754639,491.69,9.20
ECC,104857600,104857616,0.260083198547363,0.255101203918457,591.70,10.57
3DES,1073741824,1073741832,40.025921344757080,34.439447879791260,1654.81,9.28
AES,1073741824,1073741840,36.640635967254639,3.065970420837402,214.10,7.90
RSA,1073741824,1073741840,27.456101417541504,3.128250360488892,398.81,8.23
ECC,1073741824,1073741840,23.963418245315552,3.342717885971069,1446.55,12.41
